epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.19613,3.21631,3.87761,2.0682,0.00687,0.54,0.01963,0.00495,3.05054,3.65014,2.4018,0.00024,0.00024,0.07624
2,17.2187,2.47105,2.75228,1.58348,0.71133,0.10667,0.03684,0.00793,2.86577,3.53209,1.85311,0.000486766,0.000486766,0.0514868
3,24.3265,2.19681,2.41104,1.47355,0.69189,0.2611,0.22741,0.0652,2.65974,3.04216,1.75848,0.000730232,0.000730232,0.0267302
4,30.5346,2.08904,2.2308,1.39717,0.96868,0.15,0.27207,0.09338,2.44011,2.40783,1.45329,0.000970398,0.000970398,0.0019704
5,35.8439,2.04088,2.10908,1.38497,0.17546,0.28,0.20328,0.0697,2.38439,2.38267,1.48469,0.0009736,0.0009736,0.0009736
6,43.7986,1.96609,2.01213,1.32312,0.44211,0.19667,0.17109,0.0377,2.77343,3.05001,1.63603,0.000967,0.000967,0.000967
7,49.207,1.89845,1.96317,1.30016,0.41703,0.29,0.24505,0.08682,2.57104,2.67719,1.6477,0.0009604,0.0009604,0.0009604
8,56.0172,1.85178,1.88519,1.28904,0.43072,0.28971,0.27248,0.0647,2.77402,2.53472,1.64317,0.0009538,0.0009538,0.0009538
9,62.1411,1.8953,1.87172,1.293,0.31902,0.45,0.35335,0.1478,2.04984,1.95393,1.32955,0.0009472,0.0009472,0.0009472
10,67.5082,1.8485,1.84075,1.27057,0.31526,0.4,0.35267,0.13314,2.35787,2.11786,1.39824,0.0009406,0.0009406,0.0009406
11,75.9464,1.78683,1.77098,1.23361,0.27747,0.61,0.38207,0.13041,2.1729,1.75607,1.30983,0.000934,0.000934,0.000934
12,81.4448,1.729,1.73264,1.21836,0.99171,0.16667,0.19876,0.08722,2.09626,2.97718,1.43602,0.0009274,0.0009274,0.0009274
13,87.5777,1.6888,1.72694,1.20249,0.37615,0.45667,0.38599,0.1558,2.30599,1.93577,1.32935,0.0009208,0.0009208,0.0009208
14,94.3278,1.69903,1.69492,1.19578,0.42199,0.30333,0.34144,0.16423,1.82731,2.16372,1.253,0.0009142,0.0009142,0.0009142
15,100.338,1.64768,1.67347,1.19205,0.33722,0.54307,0.438,0.22082,1.63578,1.69127,1.1597,0.0009076,0.0009076,0.0009076
16,107.883,1.66333,1.63941,1.18578,0.4246,0.46333,0.49962,0.25648,1.58159,1.61432,1.17718,0.000901,0.000901,0.000901
17,113.168,1.63785,1.66916,1.18052,0.22847,0.56,0.37458,0.20558,1.4753,1.77343,1.16707,0.0008944,0.0008944,0.0008944
18,119.371,1.61215,1.62706,1.16656,0.34432,0.51667,0.41351,0.19204,1.81099,1.89486,1.20631,0.0008878,0.0008878,0.0008878
19,125.846,1.57791,1.60624,1.15492,0.19316,0.44045,0.28508,0.13857,1.7321,2.26718,1.25859,0.0008812,0.0008812,0.0008812
20,131.069,1.57056,1.57063,1.14996,0.36344,0.51,0.42451,0.2124,1.70902,1.79815,1.18626,0.0008746,0.0008746,0.0008746
21,138.507,1.57152,1.57068,1.14386,0.35435,0.54333,0.45393,0.23751,1.53979,1.62495,1.13375,0.000868,0.000868,0.000868
22,143.786,1.54592,1.57141,1.14296,0.4783,0.59195,0.58578,0.2959,1.53459,1.52329,1.13307,0.0008614,0.0008614,0.0008614
23,149.136,1.51385,1.55272,1.12181,0.47254,0.65007,0.60649,0.28027,1.8024,1.48532,1.17176,0.0008548,0.0008548,0.0008548
